Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.56035,4.056861994377,1.0961509694806,0.946414285606467,3214,2258.98679867987,2370.0,602,1066,703.344884488449,735.5,134,fliC-,Solid,2
1,4,1.7069,2.48577164466275,1.03320759381424,0.946414285606467,3195,2140.86138613861,2265.5,502,1233,769.814356435644,789.0,163,fliC-,Solid,2
1,5,2.2308,3.31031870505149,1.07389476098376,1.02774023955472,3204,2139.48106060606,2254.5,624,1212,692.24053030303,758.5,100,fliC-,Solid,2
1,6,2.902575,4.26763363903975,1.07115711176142,1.02774023955472,1308,886.922852983988,929.0,244,1100,692.563318777293,732.0,163,fliC-,Solid,2
1,7,2.67865,4.01964032818178,1.06653468442336,0.990050503762308,3442,2398.34700315457,2498.5,765,1153,758.89905362776,793.0,152,fliC-,Solid,2
1,9,2.792725,3.83117315730203,1.08026177093079,1.02774023955472,1823,1195.23600605144,1239.0,349,1129,717.119515885023,779.0,128,fliC-,Solid,2
1,10,2.74625,3.85952134690275,1.03472329204637,1.01533245786787,2764,1891.07076923077,2001.0,667,1066,719.984615384615,759.5,166,fliC-,Solid,2
1,11,2.57725,3.56846717087976,1.04632172643537,0.975,2401,1647.45737704918,1714.0,510,881,514.218032786885,554.0,84,fliC-,Solid,2
1,12,2.716675,3.93424927574778,1.08187316382261,0.990050503762308,1017,672.337480559876,701.0,215,1147,758.259720062208,793.0,216,fliC-,Solid,2
1,13,3.7349,5.36616269709676,1.05143865377401,0.946414285606467,2392,1664.2092760181,1717.0,448,1557,992.35520361991,1017.5,224,fliC-,Solid,2
1,15,3.60815,4.90654328932551,1.03249610849605,1.0090713552569,2566,1749.36651053864,1826.0,528,1303,784.567915690866,845.0,171,fliC-,Solid,2
1,16,2.564575,4.05728922050227,1.07286054449519,1.0090713552569,1343,913.039538714992,932.0,219,1365,884.35255354201,915.0,196,fliC-,Solid,2
1,17,2.9744,4.41340528370251,1.08322690788118,0.990050503762308,2538,1733.75568181818,1855.5,488,1148,769.71875,804.5,154,fliC-,Solid,2
1,18,2.20545,2.86461940777126,1.04664452380418,1.07200746266059,690,453.750957854406,465.5,133,1148,738.362068965517,761.0,165,fliC-,Solid,2
1,19,2.784275,3.94731493398826,1.06392957383837,1.0090713552569,2017,1379.92412746586,1439.0,395,1344,819.833080424886,910.0,172,fliC-,Solid,2
1,20,2.1125,2.73923881554251,1.07248911335735,1.07200746266059,1292,859.642,888.0,265,1222,711.216,778.0,161,fliC-,Solid,2
1,21,2.67865,3.90917692836526,1.04613140142212,0.975,5316,3802.83753943218,3986.0,1070,1286,844.977917981073,914.5,175,fliC-,Solid,2
1,22,3.08425,4.65578210486802,1.07001980991836,0.946414285606467,2266,1573.51506849315,1640.0,570,1171,774.467123287671,816.5,161,fliC-,Solid,2
1,23,1.964625,2.84188770786299,1.05116406410913,0.975,3304,2283.19139784946,2371.0,795,990,637.249462365591,672.0,101,fliC-,Solid,2
1,24,2.18855,3.26805040495976,1.07856302159913,1.0090713552569,4155,2836.2277992278,2965.0,853,1201,742.447876447876,798.0,147,fliC-,Solid,2
1,25,2.5857,3.68497428651401,1.07872133413558,1.0090713552569,852,556.191176470588,581.0,141,1459,924.947712418301,984.0,199,fliC-,Solid,2
1,26,3.519425,4.96580302527855,1.05488079529939,1.02774023955472,1335,879.338535414166,924.0,273,1177,751.139255702281,797.0,147,fliC-,Solid,2
1,28,3.47295,4.86193434175952,1.06239562480173,1.0090713552569,1288,900.400243309002,946.5,270,1143,678.667883211679,758.0,122,fliC-,Solid,2
1,29,2.277275,3.22535487874275,1.07465867609983,0.946414285606467,1624,1107.29499072356,1159.0,323,1392,886.576994434137,929.0,157,fliC-,Solid,2
1,30,2.4505,3.41154328932551,1.04222840475901,0.975,1759,1155.69310344828,1201.0,340,1332,904.498275862069,947.0,197,fliC-,Solid,2
1,32,2.226575,3.21420264185125,1.07778924854023,0.990050503762308,2751,1947.79696394687,2060.0,553,1215,803.982922201139,843.0,153,fliC-,Solid,2
1,34,3.30395,4.84652803604478,1.0743085931637,0.990050503762308,3039,2155.54987212276,2308.5,733,1054,687.980818414322,748.0,131,fliC-,Solid,2
1,35,2.4336,3.5480142312685,1.10481129805649,1.0090713552569,1611,1109.31423611111,1162.5,330,1085,720.444444444444,761.5,141,fliC-,Solid,2
1,36,3.3462,4.73193434175951,1.06358096387412,1.0090713552569,3047,2101.7196969697,2240.0,558,1217,748.213383838384,820.0,145,fliC-,Solid,2
1,37,2.56035,3.50993811282275,1.06704150637641,1.07594144822105,1707,1168.96864686469,1231.0,349,1307,829.513201320132,889.0,137,fliC-,Solid,2
1,38,3.0927,4.21606463622825,1.01921637408472,1.02774023955472,1243,811.69262295082,853.0,243,1131,735.188524590164,784.5,139,fliC-,Solid,2
1,39,2.454725,3.33958323408,1.06439041477264,1.0090713552569,1353,921.748709122203,968.0,211,1336,867.845094664372,915.0,190,fliC-,Solid,2
1,40,2.1294,3.27266981273101,1.07100795611104,0.930658369112963,3713,2655.52182539683,2738.5,772,1170,775.09126984127,808.0,190,fliC-,Solid,2
1,41,2.05335,2.97502092041053,1.05756672715068,1.07594144822105,1042,722.014403292181,751.0,263,1013,628.524691358025,683.5,132,fliC-,Solid,2
1,42,3.570125,5.14694480196478,1.08227476524852,1.0090713552569,2096,1391.40710059172,1458.0,447,1216,751.049704142012,774.0,123,fliC-,Solid,2
1,43,2.235025,3.2880142312685,1.09425381868453,1.0174109297624,1927,1309.74291115312,1367.0,504,1094,732.485822306238,749.0,221,fliC-,Solid,2
1,44,2.1801,3.00151757583951,1.05357110608337,1.02774023955472,2984,2017.13565891473,2137.0,602,1462,918.31007751938,967.5,233,fliC-,Solid,2
1,45,2.175875,3.06651757583951,1.05650005639874,1.02774023955472,1495,926.945631067961,962.0,231,1313,805.928155339806,844.0,137,fliC-,Solid,2
1,46,2.775825,3.80154328932551,1.03843661857109,1.0090713552569,1244,846.184170471842,881.0,244,1211,753.901065449011,818.0,99,fliC-,Solid,2
1,47,2.851875,4.16689816806826,1.0780611665433,1.0090713552569,2096,1380.90222222222,1453.0,419,1246,798.10962962963,877.0,159,fliC-,Solid,2
1,48,2.311075,3.55959369428526,1.07378391984472,0.990050503762308,7717,5542.42047531993,5807.0,2098,1202,832.380255941499,865.0,240,fliC-,Solid,2
1,49,3.28705,4.54617315730203,1.08231174597005,1.02774023955472,2048,1365.44858611825,1420.5,378,1105,695.600257069409,757.0,138,fliC-,Solid,2
1,50,1.68155,2.34461940777126,1.04962471947159,1.0090713552569,3416,2283.39698492462,2388.0,640,1383,875.047738693467,917.0,238,fliC-,Solid,2
1,51,3.595475,4.98306086516502,1.07804368127992,1.01533245786787,882,575.2044653349,600.0,139,1062,662.943595769683,714.0,123,fliC-,Solid,2
1,52,3.933475,5.49844145739376,1.07849487427366,1.0090713552569,1749,1174.80128893663,1221.0,311,1107,645.530612244898,715.0,120,fliC-,Solid,2
