 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Cell_ID,RetractedPilusLength_Dim,RetractedPilusFrame_Dim,RetractedPilusLength_Bright,RetractedPilusFrame_Bright,StdDev,Median,Slice,Strain,Growth
1.0,CpdA-FLiC-_2_Microchannel_0_event2_tirf_RAW_Stack.tif,1208.0,255.0,255.0,255.0,32.13576,43.8303,1.0,1310.0,2320.96947,3040470.0,2218.0,2438.0,48.10152,334.36832000000004,391.59837000000005,293.0,2314.05461,678018.0,2218.0,2416.0,54.11844,2,0.0,309.25696,356.67231,293.0,2329.67918,682596.0,2227.0,2438.0,50.53582,8,0.0,1.0007,,,,,,,,,CpdA-FLiC-,Liquid
1.0,CpdA-FLiC-_2_Microchannel_0_event3_tirf_RAW_Stack.tif,2250.0,255.0,255.0,255.0,73.56222,31.296,1.0,2405.0,2322.13597,5584737.0,2203.0,2484.0,50.76962,238.72898999999998,337.8785,421.0,2293.2019,965438.0,2203.0,2420.0,45.659290000000006,1,0.0,153.85091,358.4192,421.0,2375.52257,1000095.0,2300.0,2484.0,35.50456,8,0.0,1.0081200000000001,,,,,,,,,CpdA-FLiC-,Liquid
1.0,CpdA-FLiC-_2_Microchannel_1_event2_tirf_RAW_Stack.tif,7524.0,255.0,255.0,255.0,46.00864,45.05622,1.0,7706.0,1195.06943,9209205.0,1153.0,1266.0,14.655970000000002,275.71321,202.77952,812.0,1198.55296,973225.0,1167.0,1226.0,10.54476,3,0.0,275.71321,266.22048,812.0,1199.69212,974150.0,1153.0,1239.0,12.51293,6,0.0,1.0043,,,,,,,,,CpdA-FLiC-,Liquid
1.0,CpdA-FLiC-_2_Microchannel_1_event3_tirf_RAW_Stack.tif,1698.0,255.0,255.0,255.0,21.605420000000002,51.71673,1.0,1806.0,1196.81949,2161456.0,1109.0,1345.0,50.5795,391.13961,338.56073,316.0,1192.7436699999998,376907.0,1124.0,1267.0,40.74879,7,0.0,377.33117000000004,287.5837,316.0,1204.4557,380608.0,1111.0,1345.0,55.037259999999996,7,0.0,1.00229,,,,,,,,,CpdA-FLiC-,Liquid
1.0,CpdA-FLiC-_2_Microchannel_3_event3_tirf_RAW_Stack.tif,3112.0,255.0,255.0,255.0,57.223330000000004,28.92898,1.0,3322.0,1782.4440100000002,5921279.0,1688.0,1854.0,35.09491,207.39631,184.06188,316.0,1798.92405,568460.0,1762.0,1846.0,17.07613,6,0.0,202.42245,153.83908,316.0,1805.73734,570613.0,1771.0,1838.0,14.263639999999999,7,0.0,1.01381,,,,,,,,,CpdA-FLiC-,Liquid
1.0,CpdA-FLiC-_2_Microchannel_3_event4_tirf_RAW_Stack.tif,3092.0,255.0,255.0,255.0,65.41041,21.752589999999998,1.0,3389.0,2308.52316,7823585.0,2218.0,2396.0,33.86305,329.02777000000003,172.88003999999998,97.0,2299.62887,223064.0,2265.0,2342.0,22.08097,7,0.0,328.17191,197.52112,97.0,2315.19588,224574.0,2283.0,2345.0,20.03624,6,0.0,0.99949,,,,,,,,,CpdA-FLiC-,Liquid
1.0,CpdA-FliC-_3_Microchannel_0_event11_tirf_RAW_Stack.tif,1656.0,255.0,255.0,255.0,54.696259999999995,39.4692,1.0,1795.0,2360.9075199999997,4237829.0,2208.0,2518.0,45.99133,254.26065,249.01894,137.0,2383.82482,326584.0,2333.0,2443.0,25.91925,6,0.0,246.84456,253.6752,137.0,2419.40146,331458.0,2369.0,2467.0,25.80312,7,0.0,1.02041,,,,,,,,,CpdA-FliC-,Liquid
1.0,CpdA-FliC-_3_Microchannel_0_event2_tirf_RAW_Stack.tif,1909.0,255.0,255.0,255.0,49.61786,41.85306,1.0,2037.0,2405.0780600000003,4899144.0,2209.0,2710.0,95.88911,187.92309,396.59644,540.0,2411.95926,1302458.0,2209.0,2710.0,107.88636000000001,1,0.0,142.78028999999998,432.0253,540.0,2418.4907399999997,1305985.0,2252.0,2596.0,78.47445,3,0.0,1.00902,,,,,,,,,CpdA-FliC-,Liquid
1.0,CpdA-FliC-_3_Microchannel_0_event3_tirf_RAW_Stack.tif,2037.0,255.0,255.0,255.0,56.301669999999994,21.73466,1.0,2166.0,2404.03463,5207139.0,2217.0,2834.0,101.71609000000001,325.32935,408.72213,540.0,2394.21852,1292878.0,2276.0,2542.0,63.85487,7,0.0,325.20673,399.43745,540.0,2395.22037,1293419.0,2256.0,2542.0,67.15795,5,0.0,0.9923,,,,,,,,,CpdA-FliC-,Liquid
2.0,CpdA-FliC-_3_Microchannel_0_event3_tirf_RAW_Stack.tif,1846.0,255.0,255.0,255.0,22.95395,45.04875,1.0,1952.0,2417.61014,4719175.0,2083.0,3207.0,214.59887999999998,236.40366,186.88987,256.0,2403.95703,615413.0,2243.0,2984.0,148.44523,3,0.0,245.13966000000002,233.19437000000002,256.0,2437.92578,624109.0,2240.0,2772.0,133.90628,9,0.0,1.00187,,,,,,,,,CpdA-FliC-,Liquid
