Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.6702,3.99924927574778,1.0820872151407,1.0090713552569,1287,832.667721518987,865.5,194,1246,810.89082278481,856.0,162,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,2,2.682875,4.07078210486802,1.07531716468635,0.946414285606467,609,394.795275590551,411.0,115,1269,800.710236220472,852.0,137,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,3,1.9942,2.88266981273101,1.05892877304121,1.02774023955472,496,302.14406779661,319.5,85,1107,714.353813559322,748.0,128,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,4,3.13495,4.66268027293628,1.2380740160342,0.990050503762308,617,354.796495956873,364.5,71,1599,992.917789757412,1070.5,151,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,5,4.051775,5.69578210486802,1.0765818872525,1.0090713552569,572,345.358706986444,357.0,84,1423,889.900938477581,961.0,151,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,6,2.074475,2.94077164466275,1.02586010971339,0.946414285606467,531,328.849287169043,340.0,99,1263,805.955193482688,849.0,125,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,7,3.64195,5.59307132537028,1.06959101677099,0.975,555,357.025522041763,366.5,83,1089,697.470997679814,740.5,90,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,8,2.834975,4.09345191759903,1.03115017759332,0.975,426,268.329359165425,280.0,56,1057,705.029806259314,760.0,119,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,9,2.12095,3.18117315730203,1.06874657841954,1.02774023955472,856,559.830677290837,584.5,159,1216,782.03187250996,830.5,118,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,10,2.868775,4.0938791437243,1.02373775236646,1.02774023955472,558,335.955817378498,344.0,81,1237,734.627393225331,799.0,98,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,11,1.482975,2.27961940777126,1.05076692410029,0.946414285606467,447,270.131054131054,277.0,48,1435,813.740740740741,875.0,158,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,12,2.344875,3.44536533894802,1.06159969338151,1.0174109297624,635,402.630630630631,416.0,110,1275,839.201801801802,883.0,169,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,13,2.260375,3.39805040495976,1.10235564988848,0.990050503762308,584,380.020560747664,395.0,117,1356,887.47476635514,939.0,173,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,14,3.164525,4.51462986797652,1.09274319662129,1.0090713552569,486,306.210947930574,310.0,74,1170,678.985313751669,736.0,124,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,15,2.366,3.30883250982777,1.01385303280107,1.01533245786787,581,342.794642857143,359.5,87,1220,824.407142857143,871.0,173,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,16,3.046225,4.4761265234055,1.13936837610122,1.0090713552569,575,350.113730929265,357.0,88,1280,821.912621359223,855.0,123,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,17,2.353325,3.35535487874275,1.07357203079021,1.04,549,330.96947935368,343.0,75,1304,846.071813285458,881.0,146,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,18,1.956175,2.87996382630874,1.05373776699588,0.946414285606467,518,321.652267818575,332.0,63,1474,972.473002159827,1023.0,195,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,19,2.125175,3.09763363903975,1.03673305745168,0.975,1428,947.417495029821,977.0,273,1225,791.214711729622,837.0,122,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,20,2.192775,3.25079256507328,1.04624356284983,0.990050503762308,516,306.73795761079,318.0,81,1207,729.45472061657,800.0,131,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,21,3.291275,4.73840528370251,1.07203739450283,1.02774023955472,693,423.682926829268,433.0,97,1288,797.865211810013,864.0,137,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,22,2.682875,3.94035487874275,1.06813616146659,0.946414285606467,954,597.299212598425,610.0,203,1342,810.603149606299,887.0,144,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,23,2.057575,3.02424927574778,1.09120736670179,1.01116269709676,853,554.743326488706,584.0,174,1167,726.240246406571,794.0,90,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,24,3.47295,5.28156420973604,1.0811896094671,1.0090713552569,671,430.765206812652,439.0,94,1333,852.519464720195,878.0,187,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,25,3.4476,5.2842701961583,1.03902260612825,0.990050503762308,589,370.464460784314,377.0,107,1180,710.061274509804,759.0,125,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,26,2.412475,3.72958323408,1.06001774866078,0.946414285606467,1204,817.597197898424,850.0,273,1356,921.012259194396,962.0,194,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,27,2.7547,4.03923881554251,1.05583786490281,1.0090713552569,634,421.016871165644,434.0,109,1143,728.585889570552,754.5,156,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,28,3.21945,4.55881158941725,1.03941615347313,0.946414285606467,1532,1004.63254593176,1035.0,285,1408,876.675853018373,909.5,136,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,29,2.834975,4.26152803604478,1.04688312331072,0.990050503762308,517,315.211624441133,327.0,93,1086,674.603576751118,738.0,85,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,30,2.327975,3.49878587593125,1.06013836546214,1.07200746266059,699,441.990925589837,458.0,114,1337,877.5444646098,922.0,139,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,31,2.919475,4.21421310205652,1.0731407935653,1.0174109297624,955,579.136034732272,613.0,160,1455,959.587554269175,1037.0,112,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,32,3.4476,4.9704224330498,1.03810205164684,1.01533245786787,663,411.439950980392,423.0,104,1170,725.980392156863,798.5,112,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,33,3.181425,4.68923881554251,1.0604551839364,0.975,1093,698.750332005312,713.0,161,1327,861.130146082337,883.0,174,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,34,3.468725,5.05459369428526,1.07837850540725,1.0090713552569,458,279.05724725944,290.0,60,1322,798.543239951279,872.0,113,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,35,2.944825,4.66693434175952,1.0641851824526,0.946414285606467,1363,869.989956958393,888.0,243,1069,656.011477761836,687.0,97,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,36,2.361775,3.37808657865101,1.07138720591744,1.0090713552569,823,508.173524150268,516.0,110,1353,879.035778175313,915.0,123,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,37,3.5152,4.75423881554251,1.04907086599343,1.0090713552569,683,414.003605769231,431.0,136,1689,1037.83894230769,1149.0,202,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,38,2.08715,3.22997428651401,1.07796892417842,0.990050503762308,600,365.487854251012,379.0,120,1233,821.546558704453,877.5,90,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,39,3.130725,4.46269552621701,1.02427292159,0.946414285606467,738,463.388663967611,470.0,141,1232,795.630229419703,819.0,98,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,40,2.69555,4.07078210486802,1.08495569471526,1.07200746266059,460,283.91065830721,291.0,41,1256,760.891849529781,784.0,109,pilT-fliC-_pilA_T8V_incu,Liquid,2
